D	1	/inputs/tmp_inpdfs/test.pdf
P	2	1000	1000
FR	1	829	2380	1034	2461
SMI	1	*C(*)=C	829	2380	1034	2461
FR	2	830	824	1020	906
SMI	2	CC(CC1=CC=CC=C1)C(Br)=C	830	824	1020	906
FR	3	1613	1063	1794	1195
SMI	3	CCCC\C(=C(/CC)C1=CC=CC=C1)C1=CC=CC=C1	1613	1063	1794	1195
FR	4	827	1064	999	1193
SMI	4	CC\C(=C(/*)C1=CC=CC=C1)C1=CC=CC=C1	827	1064	999	1193
FR	5	828	642	989	723
SMI	5	BrC(=C)S(=O)(=O)C1=CC=CC=C1	828	642	989	723
FR	6	1611	643	1793	723
SMI	6	CCCCC(=C)S(=O)(=O)C1=CC=CC=C1	1611	643	1793	723
FR	7	827	2079	988	2161
SMI	7	BrC(=C)S(=O)(=O)C1=CC=CC=C1	827	2079	988	2161
FR	8	1610	386	1770	466
SMI	8	C\C(*)=C\C1=CC=CC=C1	1610	386	1770	466
FR	9	1612	826	1828	940
SMI	9	CCCCC(=C)C(O)CC1=CC=CC=C1	1612	826	1828	940
FR	10	824	386	980	471
SMI	10	Cl\C(*)=C\C1=CC=CC=C1	824	386	980	471
FR	11	471	2075	674	2169
SMI	11	*CC1=CC=CC=C1	471	2075	674	2169
FR	12	1610	2069	1868	2171
SMI	12	C=C(CC1=CC=CC=C1)S(=O)(=O)C1=CC=CC=C1	1610	2069	1868	2171
P	3	1000	1000
FR	1	827	637	1016	744
SMI	1	ClC1=CC=C(Br)C=C1	827	637	1016	744
FR	2	826	2262	1013	2361
SMI	2	IC1=CC2=C(OCO2)C=C1	826	2262	1013	2361
FR	3	1609	387	1744	485
SMI	3	CCC1=CC=CC=C1	1609	387	1744	485
FR	4	466	2268	681	2355
SMI	4	*C(*)CCC1=CC=CC=C1	466	2268	681	2355
FR	5	829	961	964	1058
SMI	5	ClC1=CC=CC=C1	829	961	964	1058
FR	6	825	1288	946	1386
SMI	6	IC1=CC=CC=C1	825	1288	946	1386
FR	7	825	386	964	483
SMI	7	BrC1=CC=CC=C1	825	386	964	483
FR	8	469	966	636	1048
SMI	8	CC[C@@H](C)*	469	966	636	1048
FR	9	471	646	722	738
SMI	9	COC(=O)CC(*)*	471	646	722	738
FR	10	1609	2245	1925	2386
SMI	10	*[C@H](CCC1=CC=CC=C1)C1=CC=C2OCOC2=C1	1609	2245	1925	2386
FR	11	1608	616	1929	765
SMI	11	COC(=O)C[C@@H](*)C1=CC=C(Cl)C=C1	1608	616	1929	765
FR	12	468	1286	714	1387
SMI	12	*C(*)CC1=CC=CC=C1	468	1286	714	1387
FR	13	1611	2040	1864	2145
SMI	13	CCCCCCCCC1=CC=C(C=O)C=C1	1611	2040	1864	2145
FR	14	1612	1260	1878	1411
SMI	14	*[C@H](CC1=CC=CC=C1)C1=CC=CC=C1	1612	1260	1878	1411
FR	15	1609	942	1801	1075
SMI	15	C.C#C.CCCC1=CC=CC=C1	1609	942	1801	1075
FR	16	828	2042	1048	2147
SMI	16	BrC1=CC=C(C=O)C=C1	828	2042	1048	2147
P	4	1000	1000
FR	1	1609	1090	1950	1185
SMI	1	*\C=C\C=C\C1=CC=CC=C1	1609	1090	1950	1185
FR	2	823	651	990	749
SMI	2	OCCC(Br)=C	823	651	990	749
FR	3	824	376	951	523
SMI	3	IC1=CC(=O)CCC1	824	376	951	523
FR	4	1616	895	1866	972
SMI	4	CCCCCC\C=C\C(Cl)=C	1616	895	1866	972
FR	5	468	431	701	470
SMI	5	CCCC\C=C\*	468	431	701	470
FR	6	1806	2006	1963	2099
SMI	6	C[C@H](*)C1=CC=CC=C1	1806	2006	1963	2099
FR	7	471	661	656	701
SMI	7	CC\C=C(/C)*	471	661	656	701
FR	8	824	1122	1047	1156
SMI	8	Br\C=C\*	824	1122	1047	1156
FR	9	471	2068	739	2106
SMI	9	CCCCCC\C=C\*	471	2068	739	2106
FR	10	1616	2129	1852	2167
SMI	10	CCCCCC\C=C\C=C/C	1616	2129	1852	2167
FR	11	471	920	739	955
SMI	11	CCCCCC\C=C\*	471	920	739	955
FR	12	824	2008	1039	2166
SMI	12	CC[C@@H](\C=C/Cl)C1=CC=CC=C1	824	2008	1039	2166
FR	13	1613	375	1847	526
SMI	13	CCCC\C=C\C1=CC(=O)CCC1	1613	375	1847	526
FR	14	1610	628	1848	769
SMI	14	CC\C=C(/CC)C(=C)CCO	1610	628	1848	769
FR	15	469	1089	733	1186
SMI	15	*\C=C\C1=CC=CC=C1	469	1089	733	1186
FR	16	827	897	940	975
SMI	16	ClC(Cl)=C	827	897	940	975
FR	17	467	2380	654	2512
SMI	17	*\C=C/CCC1=CC=CC=C1	467	2380	654	2512
FR	18	827	2370	964	2523
SMI	18	CC1=C(Br)C(=O)CC1	827	2370	964	2523
FR	19	1611	2360	1843	2532
SMI	19	CC1=C(\C=C/CCC2=CC=CC=C2)C(=O)CC1	1611	2360	1843	2532
P	5	1000	1000
FR	1	1607	1999	1971	2167
SMI	1	CCOC(=O)C1=CC=C(\C=C\C2=CC=CC=C2)C=C1	1607	1999	1971	2167
FR	2	1607	1116	1952	1280
SMI	2	COC1=CC=C(\C=C\C2=CC=CC=C2)C=C1	1607	1116	1952	1280
FR	3	468	1151	734	1247
SMI	3	*\C=C\C1=CC=CC=C1	468	1151	734	1247
FR	4	826	2337	947	2434
SMI	4	IC1=CC=CC=C1	826	2337	947	2434
FR	5	473	429	601	463
SMI	5	*C=C	473	429	601	463
FR	6	472	893	665	925
SMI	6	C\C=C\*	472	893	665	925
FR	7	826	824	1096	983
SMI	7	BrC1=CC=CC=C1NCC1=CC=CC=C1	826	824	1096	983
FR	8	828	2027	1055	2132
SMI	8	C\C(*)=C/C=C(*)*	828	2027	1055	2132
FR	9	823	1145	1026	1250
SMI	9	COC1=CC=C(I)C=C1	823	1145	1026	1250
FR	10	1612	579	1854	675
SMI	10	*C1=CC=C(C=C)C=C1	1612	579	1854	675
FR	11	1611	824	1878	982
SMI	11	C\C=C\C1=CC=CC=C1NCC1=CC=CC=C1	1611	824	1878	982
FR	12	828	576	1057	677
SMI	12	BrC1=CC=C(*)C=C1	828	576	1057	677
FR	13	468	2035	714	2131
SMI	13	*\C=C\C1=CC=CC=C1	468	2035	714	2131
P	6	1000	1000
FR	1	1609	2020	1954	2220
SMI	1	C(=C/C1=CC=CC=C1)\C#CC1=CC=CC=C1	1609	2020	1954	2220
FR	2	1609	2258	2027	2462
SMI	2	C(CC1=CC=CC=C1)C#C\C=C\C1=CC=CC=C1	1609	2258	2027	2462
FR	3	826	965	1045	1045
SMI	3	CCCCCCC#CBr	826	965	1045	1045
FR	4	471	2073	733	2168
SMI	4	*\C=C\C1=CC=CC=C1	471	2073	733	2168
FR	5	1606	1208	1885	1288
SMI	5	CCCCCCC#C\C=C(\C)CCCC	1606	1208	1885	1288
FR	6	1610	944	1848	1071
SMI	6	CCCCCCC#CC(=C)C(C)CC	1610	944	1848	1071
FR	7	973	547	1107	667
SMI	7	CNCC(C)(C)*	973	547	1107	667
FR	8	1612	768	1929	851
SMI	8	CCCCCCC#C\C=C\CCCC	1612	768	1929	851
FR	9	465	791	694	829
SMI	9	CCCC\C=C\*	465	791	694	829
FR	10	464	506	732	544
SMI	10	C\C=C\C=C\*	464	506	732	544
FR	11	1611	378	2033	665
SMI	11	C\C=C\C=C\C#CCC\C=C\C(=O)NCC(C)(C)*	1611	378	2033	665
FR	12	824	377	1123	526
SMI	12	CC(=O)\C=C\CCC#CBr	824	377	1123	526
FR	13	825	2286	1116	2422
SMI	13	BrC#CCCC1=CC=CC=C1	825	2286	1116	2422
FR	14	468	1209	622	1289
SMI	14	CCCC\C(C)=C/*	468	1209	622	1289
FR	15	469	964	615	1053
SMI	15	CCC(C)C(*)=C	469	964	615	1053
FR	16	824	1206	1044	1288
SMI	16	CCCCCCC#CBr	824	1206	1044	1288
FR	17	827	2048	1038	2188
SMI	17	BrC#CC1=CC=CC=C1	827	2048	1038	2188
FR	18	824	767	1041	849
SMI	18	CCCCCCC#CBr	824	767	1041	849
P	7	1000	1000
FR	1	1608	402	1973	619
SMI	1	C#[N]CC1=CC=CC=C1.OC(=O)CC1=CC(Cl)=CC=C1	1608	402	1973	619
FR	2	829	407	1080	610
SMI	2	OC(=O)CBr.C#[N]CC1=CC=CC=C1	829	407	1080	610
FR	3	468	460	721	559
SMI	3	ClC1=CC=CC(*)=C1	468	460	721	559
FR	4	468	1255	735	1400
